,Unnamed: 0,English,Italian
0,0,a,un
1,1,about,di
2,2,all,tutti
3,3,also,anche
4,4,and,e
5,5,as,come
6,6,at,a
7,7,be,essere
8,8,because,perché
9,9,but,ma
10,10,by,di
11,11,can,potere
12,12,come,venire
13,13,could,potevo
14,14,day,giorno
15,15,do,fare
16,16,even,Anche
17,17,find,trovare
18,18,first,primo
19,19,for,per
20,20,from,da
21,21,get,ottenere
22,22,give,dare
23,23,go,andare
24,24,have,avere
25,25,he,lui
26,26,her,sua
27,27,here,qui
28,28,him,lui
29,29,his,la sua
30,30,how,come
31,31,I,io
32,32,if,Se
33,33,in,in
34,34,into,in
35,35,its,suo
36,36,just,appena
37,37,know,sapere
38,38,like,piace
39,39,look,Guarda
40,40,make,Fare
41,41,man,uomo
42,42,many,molti
43,43,me,me
44,44,more,di più
45,45,my,mio
46,46,new,nuovo
47,47,no,no
48,48,not,non
49,49,now,adesso
50,50,of,di
51,51,on,su
52,52,one,uno
53,53,only,solo
54,54,or,o
55,55,other,Altro
56,56,our,nostro
57,57,out,fuori
58,58,people,le persone
59,59,say,dire
60,60,see,vedere
61,61,she,lei
62,62,so,Così
63,63,some,alcuni
64,64,take,prendere
65,65,tell,raccontare
66,66,than,di
67,67,that,Quello
68,68,the,il
69,69,their,loro
70,71,then,poi
71,72,there,là
72,73,these,questi
73,74,they,essi
74,75,thing,cosa
75,76,think,pensare
76,77,this,questo
77,78,those,quelli
78,79,time,tempo
79,80,to,a
80,81,two,Due
81,82,up,su
82,83,use,utilizzo
83,84,very,molto
84,85,want,volere
85,86,way,strada
86,88,well,bene
87,89,what,che cosa
88,90,when,quando
89,91,which,quale
90,92,who,chi
91,93,will,volere
92,94,with,insieme a
93,95,would,volevo
94,96,year,anno
95,97,you,Voi
96,98,your,il tuo
